id_event,datetime,country_code,event_code,day,month,year
1025929908,2022-01-31,US,20,31,1,2022
1025929909,2022-01-31,US,120,31,1,2022
1025929910,2022-01-31,US,40,31,1,2022
1025929911,2022-01-31,US,173,31,1,2022
1025929912,2022-01-31,US,42,31,1,2022
1025929913,2022-01-31,US,43,31,1,2022
1025929914,2022-01-31,GR,84,31,1,2022
1025929915,2022-01-31,GR,84,31,1,2022
1025929916,2022-01-31,US,40,31,1,2022
1025929917,2022-01-31,US,80,31,1,2022
1025929918,2022-01-31,US,112,31,1,2022
1025929919,2022-01-31,US,190,31,1,2022
1025929920,2022-01-31,US,193,31,1,2022
1025929921,2022-01-31,RS,154,31,1,2022
1025929922,2022-01-31,RS,130,31,1,2022
1025929923,2022-01-31,UP,57,31,1,2022
1025929924,2022-01-31,RS,10,31,1,2022
1025929925,2022-01-31,QA,30,31,1,2022
1025929926,2022-01-31,US,36,31,1,2022
1025929927,2022-01-31,US,190,31,1,2022
1025929928,2022-01-31,US,43,31,1,2022
1025929929,2022-01-31,US,10,31,1,2022
1025929930,2022-01-31,US,10,31,1,2022
1025929931,2022-01-31,US,36,31,1,2022
1025929932,2022-01-31,US,20,31,1,2022
1025929933,2022-01-31,US,20,31,1,2022
1025929934,2022-01-31,US,173,31,1,2022
1025929935,2022-01-31,US,173,31,1,2022
1025929936,2022-01-31,US,20,31,1,2022
1025929937,2022-01-31,US,10,31,1,2022
1025929938,2022-01-31,US,10,31,1,2022
1025929939,2022-01-31,US,10,31,1,2022
1025929940,2022-01-31,US,20,31,1,2022
1025929941,2022-01-31,US,33,31,1,2022
1025929942,2022-01-31,US,70,31,1,2022
1025929943,2022-01-31,US,111,31,1,2022
1025929944,2022-01-31,US,112,31,1,2022
1025929945,2022-01-31,US,120,31,1,2022
1025929946,2022-01-31,US,173,31,1,2022
1025929947,2022-01-31,US,180,31,1,2022
1025929948,2022-01-31,,111,31,1,2022
1025929949,2022-01-31,US,80,31,1,2022
1025929950,2022-01-31,JA,10,31,1,2022
1025929951,2022-01-31,US,80,31,1,2022
1025929952,2022-01-31,RS,12,31,1,2022
1025929953,2022-01-31,RS,12,31,1,2022
1025929954,2022-01-31,UP,12,31,1,2022
1025929955,2022-01-31,VM,20,31,1,2022
1025929956,2022-01-31,AE,195,31,1,2022
1025929957,2022-01-31,SF,60,31,1,2022
1025929958,2022-01-31,SF,16,31,1,2022
1025929959,2022-01-31,SF,16,31,1,2022
1025929960,2022-01-31,CD,20,31,1,2022
1025929961,2022-01-31,US,112,31,1,2022
1025929962,2022-01-31,US,180,31,1,2022
1025929963,2022-01-31,SA,12,31,1,2022
1025931588,2021-01-31,FI,30,31,1,2021
1025931589,2021-01-31,FI,57,31,1,2021
1025931590,2021-01-31,FI,30,31,1,2021
1025931591,2021-01-31,FI,57,31,1,2021
1025931592,2021-01-31,,81,31,1,2021
1025931593,2021-01-31,,128,31,1,2021
1025931594,2021-01-31,FI,57,31,1,2021
1025931595,2021-01-31,FI,57,31,1,2021
1025931596,2021-01-31,US,10,31,1,2021
1025931597,2022-01-01,US,36,1,1,2022
1025931598,2022-01-01,FI,31,1,1,2022
1025931599,2022-01-24,US,10,24,1,2022
1025931600,2022-01-24,US,10,24,1,2022
1025931601,2022-01-24,US,10,24,1,2022
1025931602,2022-01-24,US,173,24,1,2022
1025931603,2022-01-24,US,173,24,1,2022
1025931604,2022-01-24,RS,10,24,1,2022
1025931605,2022-01-24,AF,138,24,1,2022
1025931606,2022-01-24,UP,16,24,1,2022
1025931607,2022-01-24,RS,16,24,1,2022
1025931608,2022-01-24,UP,20,24,1,2022
1025931609,2022-01-24,UP,20,24,1,2022
1025931610,2022-01-24,US,15,24,1,2022
1025931611,2022-01-24,US,15,24,1,2022
1025931612,2022-01-30,PK,161,30,1,2022
1025931613,2022-01-30,BG,40,30,1,2022
1025931614,2022-01-30,BG,71,30,1,2022
1025931615,2022-01-30,TW,43,30,1,2022
1025931616,2022-01-30,TW,42,30,1,2022
1025931617,2022-01-31,UV,20,31,1,2022
1025931618,2022-01-31,CT,60,31,1,2022
1025931619,2022-01-31,US,173,31,1,2022
1025931620,2022-01-31,US,173,31,1,2022
1025931621,2022-01-31,US,173,31,1,2022
1025931622,2022-01-31,US,173,31,1,2022
1025931623,2022-01-31,RS,14,31,1,2022
1025931624,2022-01-31,CA,30,31,1,2022
1025931625,2022-01-31,CA,30,31,1,2022
